smiles1,pKa,pKa_type,smiles
CC(=O)Oc1ccccc1C(=O)[O-],3.5,acidic,CC(=O)Oc1ccccc1C(=O)[O-]
CC(=O)Sc1ccc(O)cc1,8.88,acidic,CC(=O)Sc1ccc(O)cc1
CC(=O)[C@@H]1C[C@@H]1C(=O)[O-],4.19,acidic,CC(=O)[C@@H]1C[C@@H]1C(=O)[O-]
CC(=O)[C@@H]1C[C@H](C(=O)[O-])C1(C)C,4.63,acidic,CC(=O)[C@@H]1C[C@H](C(=O)[O-])C1(C)C
CC(=O)[C@H]1CC=CC[C@@H]1C(=O)[O-],4.4,acidic,CC(=O)[C@H]1CC=CC[C@@H]1C(=O)[O-]
CC(=O)[C@H]1C[C@@H](CC(=O)[O-])C1(C)C,4.82,acidic,CC(=O)[C@H]1C[C@@H](CC(=O)[O-])C1(C)C
CC(=O)c1cc(C(=O)C(C)(C)C)n[nH]1,9.7,acidic,CC(=O)c1cc(C(=O)C(C)(C)C)n[nH]1
CC(=O)c1cc(C(=O)c2ccccc2)[nH]n1,9.01,acidic,CC(=O)c1cc(C(=O)c2ccccc2)[nH]n1
CC(=O)c1cc(C(C)=O)[nH]n1,8.98,acidic,CC(=O)c1cc(C(C)=O)[nH]n1
CC(=O)c1cc(C)c(C)cc1O,11.56,acidic,CC(=O)c1cc(C)c(C)cc1O
CC(=O)c1ccc(C(=O)O)cc1,3.7,acidic,CC(=O)c1ccc(C(=O)O)cc1
CC(=O)c1ccc(C(=O)O)s1,3,acidic,CC(=O)c1ccc(C(=O)O)s1
CC(=O)c1ccc(C(=O)[O-])cc1,3.72,acidic,CC(=O)c1ccc(C(=O)[O-])cc1
CC(=O)c1ccc(C(=O)[O-])s1,3,acidic,CC(=O)c1ccc(C(=O)[O-])s1
CC(=O)c1ccc(CC(=O)O)s1,3.8,acidic,CC(=O)c1ccc(CC(=O)O)s1
CC(=O)c1ccc(CC(=O)[O-])s1,3.8,acidic,CC(=O)c1ccc(CC(=O)[O-])s1
CC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,6.94,acidic,CC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1
CC(=O)c1ccc(O)c2ncccc12,5.86,acidic,CC(=O)c1ccc(O)c2ncccc12
CC(=O)c1ccc(O)cc1,8.05,acidic,CC(=O)c1ccc(O)cc1
CC(=O)c1ccc(S)cc1,5.33,acidic,CC(=O)c1ccc(S)cc1
CC(=O)c1ccc([N-]S(=O)(=O)c2ccccc2)cc1,6.94,acidic,CC(=O)c1ccc([N-]S(=O)(=O)c2ccccc2)cc1
CC(=O)c1ccc([S-])cc1,5.33,acidic,CC(=O)c1ccc([S-])cc1
CC(=O)c1cccc(C(=O)O)c1,3.84,acidic,CC(=O)c1cccc(C(=O)O)c1
CC(=O)c1cccc(C(=O)[O-])c1,3.84,acidic,CC(=O)c1cccc(C(=O)[O-])c1
CC(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,3.75,acidic,CC(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1
CC(=O)c1cccc(O)c1,9.25,acidic,CC(=O)c1cccc(O)c1
CC(=O)c1ccccc1C(=O)O,4.13,acidic,CC(=O)c1ccccc1C(=O)O
CC(=O)c1ccccc1C(=O)[O-],4.15,acidic,CC(=O)c1ccccc1C(=O)[O-]
CC(=O)c1ccccc1N=NC(C(=O)c1ccccc1)=C(O)c1ccccc1,9.2,acidic,CC(=O)c1ccccc1N=NC(C(=O)c1ccccc1)=C(O)c1ccccc1
CC(=O)c1ccccc1O,10.37,acidic,CC(=O)c1ccccc1O
CC(=O)c1ccn[nH]1,11.85,acidic,CC(=O)c1ccn[nH]1
CC(=S)Nc1ccc(Cl)cc1,11.06,acidic,CC(=S)Nc1ccc(Cl)cc1
CC(=S)Nc1ccccc1,11.56,acidic,CC(=S)Nc1ccccc1
CC(Br)C(=O)O,2.97,acidic,CC(Br)C(=O)O
CC(Br)C(=O)[O-],2.97,acidic,CC(Br)C(=O)[O-]
CC(C#N)(CC(=O)[O-])c1ccccc1,3.99,acidic,CC(C#N)(CC(=O)[O-])c1ccccc1
CC(C#N)(Cc1ccccc1)C(=O)[O-],2.29,acidic,CC(C#N)(Cc1ccccc1)C(=O)[O-]
CC(C#N)C(=O)O,2.37,acidic,CC(C#N)C(=O)O
CC(C#N)C(=O)[O-],2.37,acidic,CC(C#N)C(=O)[O-]
CC(C#N)C(C)(C)C(=O)O,3.97,acidic,CC(C#N)C(C)(C)C(=O)O
CC(C#N)C(C)(C)C(=O)[O-],3.97,acidic,CC(C#N)C(C)(C)C(=O)[O-]
CC(C#N)CC(=O)O,3.95,acidic,CC(C#N)CC(=O)O
CC(C#N)CC(=O)[O-],3.95,acidic,CC(C#N)CC(=O)[O-]
CC(C(=O)O)C(=O)O,3.12,acidic,CC(C(=O)O)C(=O)O
CC(C(=O)O)C(C#N)c1ccccc1,3.7,acidic,CC(C(=O)O)C(C#N)c1ccccc1
CC(C(=O)O)C1=CC(=O)C(C)C1C,4.4,acidic,CC(C(=O)O)C1=CC(=O)C(C)C1C
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,3.72,acidic,CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.3,acidic,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.3,acidic,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.98,acidic,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,4.5,acidic,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
